"Record_Number";"Date";"Quality_Rating"
1274151;"2023-03-15";5.84
3688753;"2023-05-09";3.39
4431164;"2023-01-07";4.92
6011795;"2023-01-22";8.24
6117847;"2023-08-31";3.55
13548457;"2023-03-30";3.45
14354951;"2023-12-01";4.44
14794659;"2023-02-21";4.61
16463357;"2023-05-18";1.23
18132967;"2023-07-30";1.36
18723870;"2023-08-23";1.86
20560781;"2023-06-29";8.93
21124457;"2023-06-13";6.6
21632711;"2023-12-02";4.34
26831618;"2023-06-02";7.56
27532567;"2023-08-26";9.97
31415644;"2023-12-05";5.29
31731077;"2023-11-30";7.68
34359476;"2023-02-27";3.34
43457486;"2023-05-09";9.36
44851841;"2023-05-09";5.17
45551130;"2023-11-01";9.74
49571933;"2023-05-16";7.24
58626167;"2023-02-04";7.94
58769378;"2023-10-02";5.12
59138715;"2023-02-07";7.29
59476941;"2023-09-03";1.85
64449494;"2023-03-04";0.44
67346447;"2023-02-17";1.54
69782375;"2023-12-04";3.83
72215097;"2023-08-13";5.15
73776120;"2023-03-10";8.4
73885694;"2023-01-12";8.6
73986897;"2023-11-14";1.13
74326742;"2023-05-13";6.15
77347584;"2023-01-26";5.56
77348124;"2023-02-21";5.63
77665624;"2023-02-28";8.23
78692967;"2023-03-03";6.38
80061038;"2023-07-11";4.24
81309434;"2023-02-22";1.21
82787353;"2023-12-14";5.67
83719201;"2023-11-10";2.98
84622203;"2023-10-17";2.58
87758327;"2023-04-17";2.66
87761815;"2023-09-15";9.58
88494655;"2023-03-22";1.41
88659359;"2023-03-16";4.83
93743433;"2023-01-29";7.44
95657505;"2023-10-05";8.21
